,NCT#,phase,condition,sponsor,start_date,mesh_list,criterion,Ground_Truth
987,NCT01939587,Phase 2,Asthma,Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,10-Feb-15,Respiratory Hypersensitivity,"Receipt of any investigational drug therapy or biologicals within 3 months before randomization in this study, or within 5 half-lives of the investigational agent or biologic, whichever is longer.",21.0
988,NCT00873860,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,"Receipt of any investigational drug therapy or use of any biologicals including omalizumab within 6 months before the first dose of investigational product in this study or within 5 half-lives of an investigational agent or biologic, whichever is longer",21.0
989,NCT00590720,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,Receipt of any investigational drug therapy within 30 days or any biologic(s) within 5 half-lives of the agent prior to screening;,21.0
990,NCT00483041,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,Receipt of any investigational drug therapy within 30 days or any biologic(s) within 5 half-lives of the agent prior to study drug administration through Study Day 126;,21.0
991,NCT00394654,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,Receipt of any investigational drug therapy within 30 days or any biologic(s) within 5 half-lives of the agent prior to the first dose of study drug through Study Day 150;,21.0
992,NCT00507130,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,Receipt of any investigational drug therapy within 30 days or any biologic(s) within 5 half-lives of the agent prior to the first dose of study drug through Study Day 150;,21.0
993,NCT00783289,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,Receipt of any investigational drug therapy within 30 days prior to randomization into the study or any biologic(s) within 5 half-lives of the agent prior to randomization into the study,21.0
994,NCT00768079,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,Receipt of any investigational drug therapy within 6 months before the first dose of investigational product in this study through Day 168,21.0
995,NCT03010436,Phase 2,Asthma,National Jewish Health,10-Feb-15,Systemic Vasculitis,"Receipt of any investigational non biologic within 30 days or 5 half-lives prior to visit 0, whichever is longer.",21.0
996,NCT01238861,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,"Receipt of any investigational nonbiologic within 30 days or 5 half-lives prior to screening, whichever is longer",21.0
997,NCT01238861,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,"Receipt of any marketed or investigational biologic within 4 months or 5 half-lives prior to screening, whichever is longer",21.0
998,NCT00968669,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,Receipt of any non-biological study drugs or interventional therapy (including surgical procedures) within 28 days of the first dose of investigational product in this study,21.0
999,NCT01656811,Phase 2,Asthma,Sunovion,10-Feb-15,Asthma,"Subject participated in an investigational drug study within 30 days prior to screening, or was currently participating in another clinical trial.",21.0
1000,NCT00685347,Phase 2,Asthma;Bronchoconstriction,Sunovion,10-Feb-15,Asthma,"Subject who has participated in an investigational drug study within 30 days of study start, or who is currently participating in another clinical trial.",21.0
1001,NCT00684827,Phase 2,Asthma,Sunovion,10-Feb-15,Asthma,"Subject who has participated in an investigational drug study within 30 days prior to study start, or who is currently participating in another clinical trial.",21.0
1002,NCT00684866,Phase 2,Asthma,Sunovion,10-Feb-15,Asthma,"Subject who has participated in an investigational drug study within 30 days prior to study start, or who is currently participating in another clinical trial.",21.0
1003,NCT00685022,Phase 2,Asthma,Sunovion,10-Feb-15,Asthma,"Subject who has participated in an investigational drug study within 30 days prior to study start, or who is currently participating in another clinical trial.",21.0
1004,NCT02334553,Phase 2,Asthma,SolAeroMed Inc.,10-Feb-15,Asthma,Subjects dosed with an investigational drug within 30 days prior to the Screening Visit,21.0
1005,NCT04617171,Phase 2,Asthma Attack;Asthma,Singapore General Hospital,10-Feb-15,Asthma,Subjects who are already on investigational drug or has been participating in another clinical study with an investigational product during the last 6 months,21.0
1006,NCT01366521,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,Subjects who have previously participated in a study of mepolizumab and received study medication within 90 days prior to screening.,21.0
1007,NCT03084718,Phase 2,Asthma,Chiesi Farmaceutici S.p.A.,10-Feb-15,Asthma,"Subjects who have received an investigational drug within 1 month or 5 half-lives (whichever is greater) prior to screening visit, or have been previously randomized in this trial, or are currently participating in another clinical trial.",21.0
1008,NCT03086460,Phase 2,Asthma,Chiesi Farmaceutici S.p.A.,10-Feb-15,Asthma,"Subjects who have received an investigational drug within 1 month or 5 half-lives (whichever is greater) prior to screening visit, or have been previously randomized in this trial, or are currently participating in another clinical trial.",21.0
1009,NCT02153541,Phase 2,Asthma,Global United Pharmaceutical Corporation,10-Feb-15,Asthma,Subjects who have received any investigational drug for asthma in the past 60 days ,21.0
1010,NCT02422121,Phase 2,Asthma,Revalesio Corporation,10-Feb-15,Asthma,"Subjects who have received any investigational drug in any clinical trial within 3 months, or who are on extended follow-up.",21.0
1011,NCT03745196,Phase 2,Asthma;Respiratory Candidiasis;Respiratory Aspergillosis;COPD;Bronchiectasis,Pulmocide Ltd,10-Feb-15,Candidiasis;Aspergillosis;Asthma;Bronchiectasis;Respiration Disorders;Respiratory Tract Diseases,"Subjects who have used an experimental medical device or received an experimental drug within 3 months or within a period less than five times the experimental drug's half-life, whichever is longer, before the first dose of the study drug is scheduled",21.0
1012,NCT00679263,Phase 2,Asthma,MediciNova,10-Feb-15,Asthma,"Taking any drugs or substances known to be strong inducers of cytochrome P450 enzymes within 28 days of study entry, or the expected need to use such drugs prior to completion of the study;",21.0
1013,NCT00679263,Phase 2,Asthma,MediciNova,10-Feb-15,Asthma,"Taking any drugs or substances known to be strong inhibitors of cytochrome P450 enzymes within 10 days of study entry, or the expected need to use such drugs ten days prior to the first study visit until after completion of the study;",21.0
1014,NCT02377427,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,"The participant has participated in a clinical trial and has received an investigational product within the following time period prior to the first dosing day in the current study: 30 days, 5 half-lives or twice the duration of the biological effect of the investigational product (whichever is longer). ",21.0
1015,NCT04847674,Phase 2,Asthma,"Teva Branded Pharmaceutical Products R&D, Inc.",10-Feb-15,Asthma,The participant has participated in another study of an IMP (or a medical device) within the previous 30 days or is currently participating in another study of an IMP (or a medical device).,21.0
1016,NCT00549744,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,"The subject has participated in a clinical trial and has received a drug or a new chemical entity within 30 days or 5 half-lives, or twice the duration of the biological effect of any drug (whichever is longer) prior to the first dose of current study medication",21.0
1017,NCT01808339,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,"The subject has participated in a clinical trial and has received an investigational product (IP) within the following time period prior to the first dosing day in the current study: 30 days, 5 half-lives or twice the duration of the biological effect of the investigational product (whichever is longer).",21.0
1018,NCT01453023,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,"The subject has participated in a clinical trial and has received an investigational product within 30 days, 5 half-lives, or twice the duration of the biological effect of the investigational product (whichever is longer).",21.0
1019,NCT01287065,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Respiratory Aspiration,The subject has participated in a clinical trial and has received an investigational product within 30 days prior to the first dosing day in the current study.,21.0
1020,NCT00857857,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,"The subject has participated in a clinical trial and has received an investigational product within the following time period prior to the first dosing day in the current study: 30 days, 5 half-lives or twice the duration of the biological effect of the investigational product (whichever is longer).",21.0
1021,NCT01245426,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,"The subject has participated in a clinical trial and has received an investigational product within the following time period prior to the first dosing day in the current study: 30 days, 5 half-lives or twice the duration of the biological effect of the investigational product (whichever is longer).",21.0
1022,NCT01400906,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,"the subject has participated in a clinical trial and has received an investigational product within the following time period prior to the first dosing day in the current study: 30 days, 5 half-lives or twice the duration of the biological effect of the investigational product (whichever is longer)",21.0
1023,NCT02833974,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,"The subject has participated in a clinical trial and has received an investigational product within the following time period prior to the first dosing day in the current study: 30 days, 5 half-lives or twice the duration of the biological effect of the investigational product (whichever is longer)",21.0
1024,NCT01128569,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,The subject has participated in a study with a new molecular entity during the previous 3 months or has participated in 4 or more clinical studies in the previous 12 months,21.0
1025,NCT01128595,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,The subject has participated in a study with a new molecular entity during the previous 3 months or has participated in 4 or more clinical studies in the previous 12 months,21.0
1026,NCT00748306,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,The subject has participated in a study with a new molecular entity during the previous 3 months or has participated in 4 or more clinical studies in the previous 12 months prior to the first dosing day,21.0
1027,NCT00812773,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,The subject has participated in a study with a new molecular entity during the previous 3 months or has participated in 4 or more clinical studies in the previous 12 months prior to the first dosing day.,21.0
1028,NCT00850642,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,The subject has participated in a study with a new molecular entity during the previous 3 months or has participated in 4 or more clinical studies in the previous 12 months prior to the first dosing day.,21.0
1029,NCT01471665,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,The subject has participated in a study with a new molecular entity during the previous 3 months or has participated in 4 or more clinical studies in the previous 12 months prior to the first dosing day.,21.0
1030,NCT02794519,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,The subject has received an investigational drug within 30 days or 5-half-lives (whichever is longer) prior to the first dose of study drug.,21.0
1031,NCT03707678,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,"The subject has received an investigational medicinal product within 30 days or, 5 half-lives or twice the duration of the biological effect of the investigational product (whichever is longer). Use of a biologic (e.g. monoclonal antibodies) agent for the treatment of asthma in the past 6 months.",21.0
1032,NCT00614874,Phase 2,Asthma,Creighton University,10-Feb-15,Asthma,"Treatment with an experimental, non-approved drug, or investigational drug within the past 30 days",21.0
1033,NCT01948401,Phase 2,Asthma,Hoffmann-La Roche,10-Feb-15,Asthma,"Treatment with an investigational agent within 30 days of informed consent or 5 half-lives of the investigational agent, whichever is longer",21.0
1034,NCT00162773,Phase 2,Asthma,Johns Hopkins University,10-Feb-15,Asthma,Treatment with any investigational drug in the last 30 days before enrollment into the study (Visit 1),21.0
1035,NCT03680976,Phase 2,Asthma,Sally E. Wenzel MD,10-Feb-15,Asthma,"Treatment with any investigational drug within 30 days or 5 half-lives (whichever is longer) prior to the beginning of dosing (this includes investigational formulations of marketed products, inhaled and topical drugs",21.0
1036,NCT01516086,Phase 2,Asthma,Dey,10-Feb-15,Asthma,Use of an investigational drug or device within 30 days prior to screening ,21.0
1037,NCT01516073,Phase 2,Asthma,Dey,10-Feb-15,Asthma,Use of an investigational drug or device within 30 days prior to screening. ,21.0
1038,NCT00995800,Phase 2,Asthma,Mundipharma Research Limited,10-Feb-15,Asthma;Inflammation,Use of an investigational drug within 30 days prior to the screening visit (12 weeks if an oral or injectable steroid),21.0
1039,NCT01190826,Phase 2,Asthma,Asmacure Ltée,10-Feb-15,Asthma,Use of an investigational product or participation in a clinical trial using an investigational product within 30 days before dosing or within 90 days in the case of long-acting products (ex.: Depo-medrol) or biologics with a long-acting half-life (ex.: monoclonal antibodies). ,21.0
1040,NCT01501942,Phase 2,Asthma,AIM Therapeutics Inc.,10-Feb-15,Asthma,Use of any investigational therapy or participation in another clinical study within 30 days prior to the study drug administration,21.0
1041,NCT01573624,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,Use of any other investigational medication within 30 days or 5 drug half-lives (whichever is longer),21.0
1042,NCT02910401,Phase 2,Asthma;Allergic Rhinitis,University of Virginia,10-Feb-15,"Rhinitis;Rhinitis, Allergic",Use of investigational drugs within 12 weeks of participation,21.0
1043,NCT02687815,Phase 2,Asthma,"Juan Celedon, MD",10-Feb-15,Asthma,Use of investigational therapies or participation in trials 30 days before or during the study,21.0
1044,NCT01836471,Phase 2,Asthma,Novartis Pharmaceuticals,10-Feb-15,Asthma,Use of other investigational drugs at the time of enrollment ,21.0
1045,NCT01097694,Phase 2,Asthma,Brigham and Women's Hospital,10-Feb-15,Asthma,"Use of other investigational drugs at the time of enrollment, or within 30 days or 5 half-lives of enrollment, whichever is longer",21.0
1046,NCT01545726,Phase 2,Asthma,Novartis Pharmaceuticals,10-Feb-15,Asthma;Eosinophilia,"Use of other investigational drugs at the time of enrollment, or within 30 days or 5 half-lives of enrollment, whichever is longer",21.0
1047,NCT03774290,Phase 2,Asthma,Palobiofarma SL,10-Feb-15,Asthma,"Use of other investigational drugs at the time of enrollment, or within 30 days or 5 half-lives of enrollment, whichever is longer.",21.0
1048,NCT00746330,Phase 2,Asthma,Novartis,10-Feb-15,Asthma,"Use of other investigational drugs at the time of enrolment, or within 30 days or 5 half-lives of enrolment, whichever is longer.",21.0
1049,NCT01478360,Phase 2,Asthma,Novartis Pharmaceuticals,10-Feb-15,Asthma,"Use of other investigational drugs at the time of screening, or within 30 days of screening.",21.0
1050,NCT03989635,Phase 2,"Asthma;Asthma, Bronchial;Bronchial Asthma;Eosinophilia;Physiological Effects of Drugs",Novartis Pharmaceuticals,10-Feb-15,Asthma;Eosinophilia,"Use of other investigational drugs at the time of screening, or within 5 half-lives of experimental drug at the time of screening, or within 30 days of last dose of experimental drug at the time of screening, whichever is longer; or longer if required by local regulations.",21.0
1051,NCT03683576,Phase 2,Asthma,"GB001, Inc, a wholly owned subsidiary of Gossamer Bio, Inc.",10-Feb-15,Asthma,"Use of other investigational drugs within 30 days, or within 5 half-lives, whichever is longer, prior to Screening Visit",21.0
1052,NCT03650400,Phase 2,Asthma,Novartis Pharmaceuticals,10-Feb-15,Asthma,"Use of other investigational drugs within 5 half-lives of enrollment, or (within 30 days (for small molecules)/until the expected pharmacodynamic effect has returned to baseline (for biologics)), whichever is longer.",21.0
1053,NCT04589663,Phase 2,Asthma,Novartis Pharmaceuticals,10-Feb-15,Asthma,"Use of other investigational drugs within 5 half-lives of enrollment, or [within 30 days (for small molecules) /until the expected PD effect has returned to baseline (for biologics)], whichever is longer",21.0
1054,NCT02099656,Phase 2,Asthma,Hoffmann-La Roche,10-Feb-15,Asthma;Inflammation,Use of other investigational therapy within 4 weeks or 5 drug half-lives prior to Visit 1 (whichever is longer) or during screening,21.0
1055,NCT00394914,Phase 2,Asthma;Common Cold;Picornavirus Infection;Rhinovirus,Merck Sharp & Dohme Corp.,10-Feb-15,Common Cold;Picornaviridae Infections;Asthma,Used any investigational drugs within 30 days of Screening.,21.0
1056,NCT00482898,Phase 2,Asthma,Merck Sharp & Dohme Corp.,10-Feb-15,Asthma,You have been in a research study with an investigational drug or vaccine in the last 4 weeks,21.0
1057,NCT00162773,Phase 2,Asthma,Johns Hopkins University,10-Feb-15,Asthma,Breast-feeding,22.0
1058,NCT02334553,Phase 2,Asthma,SolAeroMed Inc.,10-Feb-15,Asthma,Breast-feeding subject,22.0
1059,NCT00896428,Phase 2,Asthma,"University Hospital, Bordeaux",10-Feb-15,Asthma,Breastfeeding,22.0
1060,NCT02433977,Phase 2,Asthma,"Gladwin, Mark, MD",10-Feb-15,Asthma,Breastfeeding,22.0
1061,NCT00968669,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,Breastfeeding or lactating,22.0
1062,NCT00590720,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,Breastfeeding or lactating woman;,22.0
1063,NCT00768079,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,Breastfeeding or lactating woman,22.0
1064,NCT01238861,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,Breastfeeding or lactating women,22.0
1065,NCT00557700,Phase 2,Asthma,"University Hospital, Ghent",10-Feb-15,Asthma,Female subjects who are lactating. ,22.0
1066,NCT01400906,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,lactating females,22.0
1067,NCT02712047,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,Lactating females,22.0
1068,NCT01287065,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Respiratory Aspiration,Lactating females.,22.0
1069,NCT01808339,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,Lactating females.,22.0
1070,NCT00783289,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,Lactating woman,22.0
1071,NCT00873860,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,Lactation (women),22.0
1072,NCT02687815,Phase 2,Asthma,"Juan Celedon, MD",10-Feb-15,Asthma,Participant is currently breast feeding an infant,22.0
1073,NCT00318695,Phase 2,Eczema;Asthma;Allergic Rhinitis,"National University Hospital, Singapore",10-Feb-15,"Rhinitis;Rhinitis, Allergic;Eczema",The parents choose to totally breast-feed the child. ,22.0
1074,NCT02635945,Phase 2,Asthma,Palobiofarma SL,10-Feb-15,Asthma,Women supplying lactation,22.0
1075,NCT01939587,Phase 2,Asthma,Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,10-Feb-15,Respiratory Hypersensitivity,Women supplying lactation.,22.0
1076,NCT03680976,Phase 2,Asthma,Sally E. Wenzel MD,10-Feb-15,Asthma,Women who are breastfeeding,22.0
1077,NCT00394654,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,Is a nursing mother at the time of study enrollment;,23.0
1078,NCT00818454,Phase 2,Asthma,Boehringer Ingelheim,10-Feb-15,Asthma,Pregnancy or nursing,23.0
1079,NCT01287065,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Respiratory Aspiration,Pregnant females.,23.0
1080,NCT02947945,Phase 2,Asthma,National Jewish Health,10-Feb-15,Granulomatosis with Polyangiitis;Systemic Vasculitis;Churg-Strauss Syndrome,Pregnant or nursing,23.0
1081,NCT03010436,Phase 2,Asthma,National Jewish Health,10-Feb-15,Systemic Vasculitis,Pregnant or nursing,23.0
1082,NCT00549744,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,Pregnant or nursing females,23.0
1083,NCT00320034,Phase 2,Asthma,Hamilton Health Sciences Corporation,10-Feb-15,Asthma;Inflammation,Pregnant or nursing females.,23.0
1084,NCT00526357,Phase 2,Asthma,Firestone Institute for Respiratory Health,10-Feb-15,Asthma;Inflammation,Pregnant or nursing females.,23.0
1085,NCT00452400,Phase 2,"Pulmonary Disease, Chronic Obstructive;Asthma",Boehringer Ingelheim,10-Feb-15,"Pulmonary Disease, Chronic Obstructive",Pregnant or nursing women,23.0
1086,NCT00467740,Phase 2,Asthma,Boehringer Ingelheim,10-Feb-15,Asthma,Pregnant or nursing women,23.0
1087,NCT00556673,Phase 2,Asthma,Novartis,10-Feb-15,Asthma,Pregnant or nursing women,23.0
1088,NCT01007721,Phase 2,"Rhinitis, Allergic, Seasonal;Asthma",Boehringer Ingelheim,10-Feb-15,"Rhinitis;Rhinitis, Allergic;Rhinitis, Allergic, Seasonal",Pregnant or nursing women,23.0
1089,NCT01841281,Phase 2,Asthma;Inflammation,Nicholas Kenyon,10-Feb-15,Asthma;Inflammation,Pregnant or nursing women,23.0
1090,NCT00723021,Phase 2,Asthma,Pfizer,10-Feb-15,Asthma,Pregnant/nursing females.,23.0
1091,NCT02479412,Phase 2,Asthma;Efficacy;Safety,AstraZeneca,10-Feb-15,Asthma,Pregnant woman or a nursing mother,23.0
1092,NCT00605306,Phase 2,Asthma,Novartis,10-Feb-15,Asthma,Pregnant women or nursing mothers,23.0
1093,NCT01200108,Phase 2,Asthma,Activaero GmbH,10-Feb-15,Asthma,Pregnant women or nursing mothers,23.0
1094,NCT02105012,Phase 2,Asthma,"Pearl Therapeutics, Inc.",10-Feb-15,Asthma,Pregnant women or nursing mothers,23.0
1095,NCT02433834,Phase 2,Asthma,"Pearl Therapeutics, Inc.",10-Feb-15,Asthma,Pregnant women or nursing mothers,23.0
1096,NCT01123252,Phase 2,Seasonal Affective Rhinitis;Asthma;Grass Allergy,University of East Anglia,10-Feb-15,"Rhinitis;Rhinitis, Allergic;Rhinitis, Allergic, Seasonal",A history of hypersensitivity to the milk or its products,24.0
1097,NCT01516073,Phase 2,Asthma,Dey,10-Feb-15,Asthma,"A history of hypersensitivity to the study drug or its components, including albuterol as rescue medication",24.0
1098,NCT01516086,Phase 2,Asthma,Dey,10-Feb-15,Asthma,"A history of hypersensitivity to the study drug or its components, including albuterol as rescue medication",24.0
1099,NCT01650441,Phase 2,Asthma,"University Hospital, Antwerp",10-Feb-15,Asthma,"Allergy, sensitivity or intolerance to study drugs and/or study drug formulation ingredients",24.0
1100,NCT02162784,Phase 2,Asthma,Intech Biopharm Ltd.,10-Feb-15,Asthma,"Allergy, sensitivity or intolerance to study drugs and/or study drug formulation ingredients;",24.0
1101,NCT02148120,Phase 2,Asthma,Chiesi Farmaceutici S.p.A.,10-Feb-15,,"Allergy, sensitivity or intolerance to study drugs or excipients;",24.0
1102,NCT00868023,Phase 2,Asthma,Chiesi Farmaceutici S.p.A.,10-Feb-15,Asthma,"Allergy, sensitivity or intolerance to study drugs or excipients.",24.0
1103,NCT01000506,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,Allergy/intolerance to the excipients in the mepolizumab formulation,24.0
1104,NCT01453296,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,Any adverse reaction including immediate or delayed hypersensitivity to any betaagonist therapy.,24.0
1105,NCT01286844,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,Any adverse reaction including immediate or delayed hypersensitivity to any component of study drug,24.0
1106,NCT02947945,Phase 2,Asthma,National Jewish Health,10-Feb-15,Granulomatosis with Polyangiitis;Systemic Vasculitis;Churg-Strauss Syndrome,Any patients with a known hypersensitivity to reslizumab or any of its excipients ,24.0
1107,NCT03108027,Phase 2,Asthma,Novartis Pharmaceuticals,10-Feb-15,Asthma,"Contraindicated for treatment with, or having a history of reactions/ hypersensitivity to any of the drugs of a similar class",24.0
1108,NCT04589663,Phase 2,Asthma,Novartis Pharmaceuticals,10-Feb-15,Asthma,"Contraindicated for treatment with, or having a history of reactions/hypersensitivity to any of the following inhaled drugs, drugs of a similar class, or any component there of:",24.0
1109,NCT00995800,Phase 2,Asthma,Mundipharma Research Limited,10-Feb-15,Asthma;Inflammation,"Current evidence or history of hypersensitivity or idiosyncratic reaction to test medications, rescue medication, or components",24.0
1110,NCT02105012,Phase 2,Asthma,"Pearl Therapeutics, Inc.",10-Feb-15,Asthma,Drug Allergy: Subjects who have a history of hypersensitivity to any component of the metered-dose inhaler (MDI) ,24.0
1111,NCT00278083,Phase 2,Asthma,Imperial College London,10-Feb-15,Asthma,"Have a history of any clinically significant adverse reaction to murine or chimeric proteins, including but not limited to allergic reactions",24.0
1112,NCT01987492,Phase 2,Asthma,Hoffmann-La Roche,10-Feb-15,Asthma,History of a severe allergic reaction or anaphylactic reaction to a biologic agent or known hypersensitivity to any component of the lebrikizumab injection,24.0
1113,NCT03643874,Phase 2,Asthma,"Concentrx Pharmaceuticals, Inc.",10-Feb-15,Asthma,"History of allergic reaction (known hypersensitivity) to albuterol sulfate and/or lactose, in any formulation",24.0
1114,NCT01743768,Phase 2,Asthma,Sterna Biologicals GmbH & Co. KG,10-Feb-15,Asthma,History of allergic reactions to any active or inactive ingredients of the nebuliser solution,24.0
1115,NCT00394654,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,History of allergy or adverse reactions to any component of the MEDI-528 formulation;,24.0
1116,NCT00320034,Phase 2,Asthma,Hamilton Health Sciences Corporation,10-Feb-15,Asthma;Inflammation,History of allergy or hypersensitivity to short-acting beta-agonists.,24.0
1117,NCT00783289,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,History of allergy or reaction to any component of the investigational product formulation,24.0
1118,NCT00507130,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,History of allergy or reaction to any component of the MEDI-528 formulation;,24.0
1119,NCT00590720,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,History of allergy or reaction to any component of the study drug formulation;,24.0
1120,NCT01252758,Phase 2,Asthma,Acerus Pharmaceuticals Corporation,10-Feb-15,Asthma,"History of any immediate or delayed hypersensitivity reaction to inhaled b2-agonists, lactose, milk-protein, or excipients (pMDI inhalers) any component of the formulations",24.0
1121,NCT01993329,Phase 2,Asthma,"Afferent Pharmaceuticals, Inc.",10-Feb-15,Asthma,History of cutaneous adverse drug reaction to sulphonamides or signs or symptoms suggestive of anaphylaxis to sulphonamides.,24.0
1122,NCT02698501,Phase 2,Asthma,Celeste Porsbjerg,10-Feb-15,Asthma,History of documented immune complex disease (Type III hypersensitivity reactions) to mAb administration,24.0
1123,NCT00162773,Phase 2,Asthma,Johns Hopkins University,10-Feb-15,Asthma,"History of hypersensitivity to albuterol, or Xolair, or to drugs with similar chemical structures",24.0
1124,NCT03650400,Phase 2,Asthma,Novartis Pharmaceuticals,10-Feb-15,Asthma,History of hypersensitivity to any of the study drugs or its excipients or to drugs of similar chemical classes.,24.0
1125,NCT01545726,Phase 2,Asthma,Novartis Pharmaceuticals,10-Feb-15,Asthma;Eosinophilia,History of hypersensitivity to any of the study drugs or to drugs of similar chemical classes (CRTH2 antagonists),24.0
1126,NCT03989635,Phase 2,"Asthma;Asthma, Bronchial;Bronchial Asthma;Eosinophilia;Physiological Effects of Drugs",Novartis Pharmaceuticals,10-Feb-15,Asthma;Eosinophilia,History of hypersensitivity to any of the study treatments or excipients (such as milk or lactose) or to drugs of similar chemical classes (other DP2 antagonists such as timapiprant).,24.0
1127,NCT02422121,Phase 2,Asthma,Revalesio Corporation,10-Feb-15,Asthma,History of hypersensitivity to budesonide or to any of the excipients.,24.0
1128,NCT03707678,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,History of hypersensitivity to investigational medicinal product (IMP) or to drugs of similar chemical class (TLR agonists).,24.0
1129,NCT02491684,Phase 2,Asthma,AstraZeneca,10-Feb-15,Infections;Respiratory Tract Infections;Asthma,History of hypersensitivity to natural or recombinant Interferon beta-1a or to any of the drug preparation excipients,24.0
1130,NCT00556673,Phase 2,Asthma,Novartis,10-Feb-15,Asthma,History of hypersensitivity to the study drugs or to drugs with similar chemical structures,24.0
1131,NCT03774290,Phase 2,Asthma,Palobiofarma SL,10-Feb-15,Asthma,History of hypersensitivity to the study medication or drugs of similar chemical classes (A1 adenosine receptor antagonists).,24.0
1132,NCT02698501,Phase 2,Asthma,Celeste Porsbjerg,10-Feb-15,Asthma,History of sensitivity to any component of the investigational product,24.0
1133,NCT01400906,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,"history of sensitivity to any of the study medications, or components thereof or a history of drug or other allergy that contraindicates their participation",24.0
1134,NCT01245426,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,History of sensitivity to any of the study medications.,24.0
1135,NCT00983658,Phase 2,Asthma,"Genentech, Inc.",10-Feb-15,Asthma;Airway Obstruction,History of serious adverse reaction or hypersensitivity to any drug,24.0
1136,NCT01196039,Phase 2,Asthma,"Genentech, Inc.",10-Feb-15,Asthma;Airway Obstruction,History of serious adverse reaction or hypersensitivity to any drug,24.0
1137,NCT00327808,Phase 2,Asthma,Pharmaxis,10-Feb-15,Asthma,History of serious adverse reaction or hypersensitivity to corticosteroids,24.0
1138,NCT01545440,Phase 2,Asthma,"Genentech, Inc.",10-Feb-15,Asthma,History of severe allergic or anaphylactic reaction to a biologic agent or known hypersensitivity to any component of the lebrikizumab injection,24.0
1139,NCT01545453,Phase 2,Asthma,"Genentech, Inc.",10-Feb-15,Asthma,History of severe allergic or anaphylactic reaction to a biologic agent or known hypersensitivity to any component of the lebrikizumab injection,24.0
